2020-10-15 05:49:58, INFO: Current git head hash code: %s
2020-10-15 05:49:58, INFO: Using device: cpu
2020-10-15 05:49:58, INFO: Policy: SARL w/ global state
2020-10-15 05:49:58, INFO: human number: 9
2020-10-15 05:49:58, INFO: Not randomize human's radius and preferred speed
2020-10-15 05:49:58, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2020-10-15 05:49:58, INFO: Square width: 10.0, circle width: 4.0
2020-10-15 05:49:58, INFO: Load imitation learning trained weights.
2020-10-15 05:49:58, INFO: Agent is invisible and has holonomic kinematic constraint
2020-10-15 05:49:58, INFO: Current learning rate: 0.001000
2020-10-15 06:04:26, INFO: TRAIN in episode 58 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:04:30, INFO: TRAIN in episode 59 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0711
2020-10-15 06:04:37, INFO: TRAIN in episode 60 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:04:44, INFO: TRAIN in episode 61 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0019
2020-10-15 06:04:51, INFO: TRAIN in episode 62 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:04:59, INFO: TRAIN in episode 63 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0374
2020-10-15 06:05:05, INFO: TRAIN in episode 64 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:05:13, INFO: TRAIN in episode 65 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:05:19, INFO: TRAIN in episode 66 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:05:26, INFO: TRAIN in episode 67 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:05:33, INFO: TRAIN in episode 68 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0539
2020-10-15 06:05:38, INFO: TRAIN in episode 69 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0791
2020-10-15 06:05:45, INFO: TRAIN in episode 70 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0237
2020-10-15 06:05:48, INFO: TRAIN in episode 71 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0999
2020-10-15 06:05:55, INFO: TRAIN in episode 72 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:06:03, INFO: TRAIN in episode 73 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:06:11, INFO: TRAIN in episode 74 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0239
2020-10-15 06:06:19, INFO: TRAIN in episode 75 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:06:26, INFO: TRAIN in episode 76 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0269
2020-10-15 06:06:27, INFO: TRAIN in episode 77 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2479
2020-10-15 06:06:31, INFO: TRAIN in episode 78 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0641
2020-10-15 06:06:39, INFO: TRAIN in episode 79 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:06:45, INFO: TRAIN in episode 80 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:06:52, INFO: TRAIN in episode 81 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0218
2020-10-15 06:06:58, INFO: TRAIN in episode 82 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:07:04, INFO: TRAIN in episode 83 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:07:12, INFO: TRAIN in episode 84 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0052
2020-10-15 06:07:17, INFO: TRAIN in episode 85 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:07:24, INFO: TRAIN in episode 86 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0107
2020-10-15 06:07:31, INFO: TRAIN in episode 87 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:07:38, INFO: TRAIN in episode 88 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0083
2020-10-15 06:07:45, INFO: TRAIN in episode 89 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0617
2020-10-15 06:07:52, INFO: TRAIN in episode 90 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0165
2020-10-15 06:07:58, INFO: TRAIN in episode 91 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0009
2020-10-15 06:08:04, INFO: TRAIN in episode 92 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0077
2020-10-15 06:08:11, INFO: TRAIN in episode 93 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0268
2020-10-15 06:08:17, INFO: TRAIN in episode 94 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0010
2020-10-15 06:08:23, INFO: TRAIN in episode 95 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:08:30, INFO: TRAIN in episode 96 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0174
2020-10-15 06:08:37, INFO: TRAIN in episode 97 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0363
2020-10-15 06:08:44, INFO: TRAIN in episode 98 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:08:47, INFO: TRAIN in episode 99 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0849
2020-10-15 06:08:54, INFO: TRAIN in episode 100 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:09:00, INFO: TRAIN in episode 101 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:09:06, INFO: TRAIN in episode 102 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:09:14, INFO: TRAIN in episode 103 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:09:17, INFO: TRAIN in episode 104 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0792
2020-10-15 06:09:18, INFO: TRAIN in episode 105 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2583
2020-10-15 06:09:26, INFO: TRAIN in episode 106 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0150
2020-10-15 06:09:28, INFO: TRAIN in episode 107 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0994
2020-10-15 06:09:36, INFO: TRAIN in episode 108 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0157
2020-10-15 06:09:43, INFO: TRAIN in episode 109 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:09:49, INFO: TRAIN in episode 110 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0448
2020-10-15 06:09:52, INFO: TRAIN in episode 111 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0850
2020-10-15 06:09:58, INFO: TRAIN in episode 112 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:10:05, INFO: TRAIN in episode 113 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0136
2020-10-15 06:10:10, INFO: TRAIN in episode 114 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0614
2020-10-15 06:10:18, INFO: TRAIN in episode 115 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:10:24, INFO: TRAIN in episode 116 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0049
2020-10-15 06:10:32, INFO: TRAIN in episode 117 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:10:34, INFO: TRAIN in episode 118 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1876
2020-10-15 06:10:40, INFO: TRAIN in episode 119 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0478
2020-10-15 06:10:48, INFO: TRAIN in episode 120 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0262
2020-10-15 06:10:56, INFO: TRAIN in episode 121 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:11:04, INFO: TRAIN in episode 122 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:11:09, INFO: TRAIN in episode 123 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0385
2020-10-15 06:11:15, INFO: TRAIN in episode 124 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:11:22, INFO: TRAIN in episode 125 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0589
2020-10-15 06:11:30, INFO: TRAIN in episode 126 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:11:37, INFO: TRAIN in episode 127 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:11:38, INFO: TRAIN in episode 128 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2231
2020-10-15 06:11:42, INFO: TRAIN in episode 129 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0635
2020-10-15 06:11:49, INFO: TRAIN in episode 130 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:11:50, INFO: TRAIN in episode 131 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1722
2020-10-15 06:11:58, INFO: TRAIN in episode 132 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:12:02, INFO: TRAIN in episode 133 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0785
2020-10-15 06:12:10, INFO: TRAIN in episode 134 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:12:15, INFO: TRAIN in episode 135 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0936
2020-10-15 06:12:21, INFO: TRAIN in episode 136 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:12:28, INFO: TRAIN in episode 137 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0326
2020-10-15 06:12:36, INFO: TRAIN in episode 138 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0151
2020-10-15 06:12:43, INFO: TRAIN in episode 139 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0357
2020-10-15 06:12:49, INFO: TRAIN in episode 140 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:12:56, INFO: TRAIN in episode 141 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0073
2020-10-15 06:13:01, INFO: TRAIN in episode 142 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0748
2020-10-15 06:13:07, INFO: TRAIN in episode 143 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0011
2020-10-15 06:13:12, INFO: TRAIN in episode 144 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0609
2020-10-15 06:13:20, INFO: TRAIN in episode 145 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:13:26, INFO: TRAIN in episode 146 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0910
2020-10-15 06:13:33, INFO: TRAIN in episode 147 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:13:40, INFO: TRAIN in episode 148 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:13:41, INFO: TRAIN in episode 149 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2524
2020-10-15 06:13:48, INFO: TRAIN in episode 150 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:13:56, INFO: TRAIN in episode 151 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:14:01, INFO: TRAIN in episode 152 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0433
2020-10-15 06:14:08, INFO: TRAIN in episode 153 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:14:16, INFO: TRAIN in episode 154 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:14:23, INFO: TRAIN in episode 155 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0012
2020-10-15 06:14:29, INFO: TRAIN in episode 156 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:14:35, INFO: TRAIN in episode 157 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0667
2020-10-15 06:14:40, INFO: TRAIN in episode 158 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0929
2020-10-15 06:14:42, INFO: TRAIN in episode 159 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1823
2020-10-15 06:14:45, INFO: TRAIN in episode 160 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1212
2020-10-15 06:14:50, INFO: TRAIN in episode 161 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:14:57, INFO: TRAIN in episode 162 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:15:03, INFO: TRAIN in episode 163 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:15:11, INFO: TRAIN in episode 164 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:15:17, INFO: TRAIN in episode 165 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0022
2020-10-15 06:15:25, INFO: TRAIN in episode 166 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:15:32, INFO: TRAIN in episode 167 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0003
2020-10-15 06:15:39, INFO: TRAIN in episode 168 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:15:47, INFO: TRAIN in episode 169 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:15:49, INFO: TRAIN in episode 170 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0843
2020-10-15 06:15:57, INFO: TRAIN in episode 171 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:15:59, INFO: TRAIN in episode 172 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1294
2020-10-15 06:16:07, INFO: TRAIN in episode 173 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0195
2020-10-15 06:16:13, INFO: TRAIN in episode 174 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:16:19, INFO: TRAIN in episode 175 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.0379
2020-10-15 06:16:28, INFO: TRAIN in episode 176 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:16:35, INFO: TRAIN in episode 177 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:16:42, INFO: TRAIN in episode 178 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:16:51, INFO: TRAIN in episode 179 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:16:57, INFO: TRAIN in episode 180 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:17:04, INFO: TRAIN in episode 181 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0163
2020-10-15 06:17:11, INFO: TRAIN in episode 182 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:17:17, INFO: TRAIN in episode 183 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0125
2020-10-15 06:17:25, INFO: TRAIN in episode 184 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:17:32, INFO: TRAIN in episode 185 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:17:39, INFO: TRAIN in episode 186 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0322
2020-10-15 06:17:47, INFO: TRAIN in episode 187 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:17:55, INFO: TRAIN in episode 188 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:18:03, INFO: TRAIN in episode 189 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:18:09, INFO: TRAIN in episode 190 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:18:16, INFO: TRAIN in episode 191 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:18:23, INFO: TRAIN in episode 192 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
